"id","preds"
1,4.83980089504807
2,4.83980089504807
3,4.79730959878851
5,4.83980089504807
11,4.88229219130762
18,4.83980089504807
19,4.96727478382673
28,4.88229219130762
29,4.83980089504807
33,4.88229219130762
36,4.75481830252896
45,5.05225737634584
48,4.83980089504807
49,4.88229219130762
55,6.19952237535379
56,6.15703107909424
57,6.24201367161334
58,5.64713552397959
59,6.19952237535379
61,5.7321181164987
62,6.02955719031557
65,5.77460941275825
66,6.11453978283468
68,5.98706589405602
70,5.90208330153691
77,6.2845049678729
83,5.90208330153691
84,6.41197885665156
94,5.64713552397959
95,6.02955719031557
98,6.07204848657513
100,5.98706589405602
101,6.79440052298754
104,6.62443533794933
105,6.70941793046843
111,6.41197885665156
113,6.58194404168977
116,6.49696144917067
125,6.66692663420888
131,6.8368918192471
133,6.62443533794933
135,6.62443533794933
140,6.53945274543022
141,6.62443533794933
145,6.66692663420888
